record_no,ht,wt
1,175.7,66.77
2,178.3,65.55
3,163.2,63.12
4,169.4,44.82
5,176.6,
6,150.5,42.49
7,166.3,39.27
8,147.2,58.55
9,179.0,63.18
10,176.1,65.81
11,169.1,64.4
12,172.3,71.49
13,166.7,41.71
14,148.8,36.38
15,163.1,57.62
16,177.6,50.06
17,157.2,
18,150.1,39.72
19,177.2,49.55
20,178.5,54.83
21,145.9,35.0
22,164.2,55.38
23,151.3,41.94
24,155.2,52.29
25,154.4,32.85
26,178.2,65.8
27,175.3,91.05
28,150.4,36.96
29,165.9,57.16
30,146.1,37.97
31,172.0,53.43
32,158.4,51.74
33,168.3,63.96
34,145.7,41.57
35,176.8,81.65
36,178.4,58.27
37,149.9,66.65
38,170.5,54.16
39,174.4,67.98
40,167.8,59.02
41,151.6,40.08
42,158.9,36.89
43,149.9,41.01
44,147.8,41.88
45,148.8,40.85
46,179.6,76.19
47,163.8,80.41
48,148.9,38.6
49,155.0,44.76
50,172.4,72.64
51,151.0,40.45
52,147.3,36.36
53,157.2,48.66
54,179.2,53.21
55,178.5,48.27
56,154.2,66.48
57,164.3,
58,171.9,53.93
59,150.2,35.15
60,164.1,48.82
61,156.8,39.22
62,162.7,37.54
63,164.6,52.75
64,172.5,71.65
65,159.4,47.31
66,147.2,39.15
67,147.3,36.76
68,168.2,50.95
69,154.0,51.08
70,170.0,51.56
71,163.6,50.26
72,172.2,82.7
73,162.7,
74,151.4,37.2
75,149.0,46.47
76,165.5,51.58
77,146.0,35.06
78,178.8,68.35
79,170.9,78.22
80,160.1,40.09
81,169.2,45.46
82,155.0,39.5
83,165.2,58.68
84,179.9,76.93
85,146.0,55.91
86,179.6,72.64
87,165.6,43.47
88,151.7,39.97
89,165.4,78.02
90,163.6,52.75
91,158.8,79.16
92,167.2,43.19
93,170.7,35.29
94,160.8,56.37
95,175.4,76.48
96,148.7,41.99
97,175.2,74.83
98,149.1,35.21
99,147.6,
100,157.2,41.24
101,161.3,52.06
102,178.2,75.48
103,165.8,51.41
104,151.1,53.31
105,153.4,44.24
106,159.0,73.24
107,175.6,82.98
108,147.0,33.39
109,156.9,51.16
110,171.0,73.04
111,171.5,50.68
112,152.3,36.0
113,151.9,61.81
114,178.4,68.78
115,167.0,56.75
116,166.1,49.91
117,174.6,64.32
118,166.4,53.99
119,160.0,38.5
120,170.6,49.77
121,175.3,52.24
122,147.9,40.58
123,149.1,47.44
124,151.7,49.09
125,176.0,53.31
126,159.1,42.98
127,158.7,41.2
128,162.4,
129,178.5,88.04
130,168.2,68.55
131,178.1,56.27
132,158.0,53.12
133,171.6,55.57
134,149.6,43.82
135,148.2,62.88
136,171.3,70.31
137,171.3,83.37
138,160.2,61.23
139,164.3,74.69
140,154.9,39.06
141,160.9,56.52
142,157.9,38.57
143,163.1,70.28
144,164.0,60.73
145,159.9,41.29
146,174.9,62.83
147,148.8,56.44
148,147.5,35.94
149,154.4,54.71
150,162.2,47.57
